frame |NNN|EEEEE S|TNE TTTT VV|TNE TTTT VV|TNE TTTT VV|
00365 |...|..... .|... .... ..|... .... ..|... -021 ..|
00366 |...|..... .|... -001 -1|... .... ..|... -013 ..|
00367 |...|..... .|... +001 ..|... .... ..|... +034 -1|
00368 |...|..... .|... .... ..|... .... ..|... -021 ..|
00369 |...|..... .|... .... -1|... .... ..|... -013 -1|
00370 |...|..... .|... .... -1|... .... ..|... +034 ..|
00371 |...|..... .|... .... ..|... .... ..|... -021 ..|
00372 |...|..... .|... -001 -1|... .... ..|... -013 ..|
00373 |...|..... .|... -006 +1|... .... ..|.N. +0D0 +1|
00374 |...|..... .|... -006 ..|... .... ..|.n. -040 ..|
00375 |...|..... .|... -006 -1|... .... ..|... -028 -1|
00376 |...|..... .|... .... ..|... .... ..|... +068 ..|
00377 |...|..... .|... .... ..|... .... ..|... -040 ..|
00378 |...|..... .|... -001 -1|... .... ..|... -028 ..|
00379 |...|..... .|... +001 ..|... .... ..|... +068 -1|
00380 |...|..... .|... .... ..|... .... ..|... -040 ..|
00381 |...|..... .|... .... ..|... .... ..|... -028 ..|
00382 |...|..... .|... .... -1|... .... ..|... +068 ..|
00383 |...|..... .|... .... ..|... .... ..|... -040 -1|
00384 |...|..... .|... -001 -1|... .... ..|... -028 ..|
00385 |+01|+000F E|... -015 +9|tNe +1DA +8|.N. +0A3 +5|
00386 |...|..... .|... -037 ..|TnE .... -8|.n. -03B ..|
00387 |...|..... .|... +037 -1|... .... ..|... -040 -1|
00388 |...|..... .|... .... -1|... .... ..|... +07B ..|
00389 |...|..... .|... .... ..|... .... ..|... -03B ..|
00390 |...|..... .|... -001 -1|... .... ..|... -040 ..|
00391 |...|..... .|... +001 ..|... .... ..|... +07B -1|
00392 |...|..... .|... .... ..|... .... ..|... -03B ..|
00393 |...|..... .|... .... -1|... .... ..|... -040 -1|
00394 |...|..... .|... .... -1|... .... ..|... +07B ..|
00395 |...|..... .|... .... ..|... .... ..|... -03B ..|
00396 |...|..... .|... -001 -1|... .... ..|... -040 ..|
00397 |...|..... .|... +017 +1|... .... ..|.N. +07B +1|
00398 |...|..... .|... -046 ..|... .... ..|.n. -03B ..|
00399 |...|..... .|... +046 -1|... .... ..|... -040 -1|
-------------------------------------------------------
00400 |...|..... .|... .... ..|... .... ..|... +07B ..|
00401 |...|..... .|... .... ..|... .... ..|... -03B ..|
00402 |...|..... .|... -001 -1|... .... ..|... -040 ..|
00403 |...|..... .|... +001 ..|... .... ..|... +07B -1|
00404 |...|..... .|... .... ..|... .... ..|... -03B ..|
00405 |...|..... .|... .... ..|... .... ..|... -040 ..|
00406 |...|..... .|... .... -1|... .... ..|... +07B ..|
00407 |...|..... .|... .... ..|... .... ..|... -03B -1|
00408 |...|..... .|... -001 -1|... .... ..|... -040 ..|
00409 |-01|..... .|... -015 +4|tNe .... +8|.N. -03F +3|
00410 |...|..... .|... -037 ..|TnE .... -8|.n. -01D ..|
00411 |...|..... .|... +037 -1|... .... ..|... -021 -1|
00412 |...|..... .|... .... ..|... .... ..|... +03E ..|
00413 |...|..... .|... .... ..|... .... ..|... -01D ..|
00414 |...|..... .|... -001 -1|... .... ..|... -021 ..|
00415 |...|..... .|... +001 ..|... .... ..|... +03E -1|
00416 |...|..... .|... .... ..|... .... ..|... -01D ..|
00417 |...|..... .|... .... ..|... .... ..|... -021 ..|
00418 |...|..... .|... .... -1|... .... ..|... +03E ..|
00419 |...|..... .|... .... ..|... .... ..|... -01D -1|
00420 |...|..... .|... -001 -1|... .... ..|... -021 ..|
00421 |...|..... .|... +017 +9|tNe -AEA +8|.N. +0F8 +5|
00422 |...|..... .|... .... ..|TnE .... -8|.n. -03B ..|
00423 |...|..... .|... .... -1|... .... ..|... -040 -1|
00424 |...|..... .|... .... -1|... .... ..|... +07B ..|
00425 |...|..... .|... .... ..|... .... ..|... -03B ..|
00426 |...|..... .|... -001 -1|... .... ..|... -040 ..|
00427 |...|..... .|... +001 ..|... .... ..|... +07B -1|
00428 |...|..... .|... .... ..|... .... ..|... -03B ..|
00429 |...|..... .|... .... -1|... .... ..|... -040 -1|
00430 |...|..... .|... .... -1|... .... ..|... +07B ..|
00431 |...|..... .|... .... ..|... .... ..|... -03B ..|
00432 |...|..... .|... -001 -1|... .... ..|... -040 ..|
00433 |-01|..... .|... -015 +1|tNe +AEA +8|.N. +07B +1|
00434 |...|..... .|... .... ..|TnE .... -8|.n. -03B ..|
00435 |...|..... .|... .... -1|... .... ..|... -040 -1|
00436 |...|..... .|... .... ..|... .... ..|... +07B ..|
00437 |...|..... .|... .... ..|... .... ..|... -03B ..|
00438 |...|..... .|... -001 -1|... .... ..|... -040 ..|
